index,title,author,genre,rating,review,annotations,Final Annotation,Preliminary Agreement
32CXT5U15R7W2SHCFG5YWNGN834U88,The Diary of a Young Girl,Anne Frank,Classics,5.0,"How can you not give this classic diary the coveted: :star::star::star::star::star:Note: this book is listed as one of the most popular books to be banned, over the past decade, from both schools and private libraries. Support freedom of expression by reading and buying banned books! :red_heart::books:","Counter({'annoyed': 2, 'confused': 1})",annoyed,0.5
391JB9X409CXKLE4F3BFVI8KQHVMKR,Betwixt,Darynda Jones,Fantasy,5.0,"What a fun book. I loved the humor, the heroine and her best friend were hilarious, Roane was hot, and I was very entertained by the whole story. Plus it’s getting me in the mood for Halloween. It does end on a cliffhanger so I’m off to go start book 2.","Counter({'love': 2, 'disappointed': 1, 'enthusiastic': 1, 'content': 1})",love,0.25
3BC9H1KCZ5GO92XZNKITDOPMMYIYWP,"Two Necromancers, a Bureaucrat, and an Elf",L.G. Estrella,Fantasy,4.0,A solid 3.5 on this one so I rounded up. The book is good and provides the necessary foundation for the books to come. Enjoy this one and then jump to the second where the author really starts hitting stride!,"Counter({'content': 2, 'annoyed': 1})",content,0.5
3OJX0UFJ1ABWGX0MK8BCWJBYS9MU9X,The Diary of a Young Girl,Anne Frank,Classics,2.0,"The problem with Diary of a Young Girl is that it's the diary of a young girl, and young girls are, like young boys, kindof a pain in the ass. It's like 300 pages straight of ""No one understands me!"" I guess the reason this made it on to so many high school curricula is that young people might relate to it, and clearly some of them do, because they wrote pissed-off comments below this review - but this doesn't depict the horrors of the Holocaust. Night does that. This depicts the boredom of being locked in an attic for two years. And Frank is very bright, but not bright enough to make great reading out of a kid's diary.In the pantheon of literature about being locked in an attic, Flowers in the Attic is still the gold standard.","Counter({'bored': 2, 'annoyed': 1})",bored,0.5
33W1NHWFZSPWMB3AO1F14BRPOY4TZL,Betwixt,Darynda Jones,Fantasy,5.0,Daryndra Jones rocks!This book was epic and I can't wait to see what comes next in the series. The characters are great and addictive.:smiling_face_with_smiling_eyes:,"Counter({'love': 2, 'annoyed': 1, 'enthusiastic': 1})",love,0.3333333333333333
3I4E7AFQ3V36MWY66FCFGH3Z50RJTQ,"Two Necromancers, a Bureaucrat, and an Elf",L.G. Estrella,Fantasy,2.0,"For myself, I think the humor underlying these stories is best enjoyed in smaller doses. This was close to what I think of as the ""written-down version of my D&D campaign"". It's definitely not that simplistic, but does feel similar.","Counter({'content': 2, 'bored': 1})",content,0.5
3ZURAPD29JRP8A01L61KVDSCKAJF1A,The Diary of a Young Girl,Anne Frank,Classics,5.0,"Ya gotta hand it to this teen girl who was writing about her life with such clarity and eloquence when her life was hanging by a thread.I've read reviews of The Diary of a Young Girl that complained about how Frank ignored the bigger picture of the war and that her subject matter was trite, whiny and insular. What else could it be, this diary of a teen secreted away in the compact environs of an attic with the same people for years learning little-to-no outside information?From the standpoint of a detached, pure read, the fact that the diary includes a love interest is a blessing. But even without it, it's a wonderful and at times intense read. There were numerous times when the family was nearly caught during which my heart would race uncontrollably and my breath would catch. Knowing what happens to all of them after the diary ends packs the kind of punch you get in fiction...only it's not. ","Counter({'enthusiastic': 2, 'disappointed': 1})",enthusiastic,0.5
3P888QFVYEY7VRXB5OAPJ89YKN2OQ0,A Flicker in the Dark,Stacy Willingham,Thriller,3.0,I was really excited to start reading this debut thriller that I won on a first-reads giveaway.The writing is good. I liked the story. It kept me engaged for the most part. It's an interesting premise that catches your eye when you first read the blurb. The story of a serial killer's daughter who is now a psychologist. One day one of her patient's disappears and is feared dead. It seems like a copy-cat killer is on the loose. One that is copying her own father's killings.The story builds up slowly with quite a few red herrings along the way. I enjoyed it but I wasn't quite captivated by it. I did guess the outcome early on but Stacy Willingham show's promise. This is a good debut psychological thriller and I would most certainly read another book by her again.,"Counter({'content': 2, 'love': 1, 'enthusiastic': 1, 'disappointed': 1})",content,0.25
3EKTG13I05784RWM03NGAILZFH0MLU,Betwixt,Darynda Jones,Fantasy,5.0,"In love with this story!!!I read this book all in one sitting because I couldn't put it down! Defiance, Annette, Ruthie, and Roane are marvelous characters and each one is endearing and engaging. I look forward to reading Bewitched!!!","Counter({'content': 2, 'annoyed': 1})",content,0.5
3ROUCZ908QY4AFKVQBILU3EY5MKOOS,The Song of Achilles,Madeline Miller,Historical,5.0," ‘we were like gods at the dawning of the world, and our joy was so bright we could see nothing else but the other.’ i must be a masochist because i can think of no other reason to endure the emotional and stunning pain of this story for a fourth time. but here i am. crying for my sweet, sweet patroclus. the best of men. the best of the myrmidons. <3______________________________its been nearly 12 hours since i finished this and i still am at a loss for words at the beauty of this book. i dont think i have ever read anything as gorgeous as this and nothing i write will even come close to describing its loveliness. truly, a touching masterpiece. and i will forever be singing its praises until the end of my days. ↠ every star, to give patroclus his own constellation","Counter({'content': 2, 'confused': 1})",content,0.5
3OB6JN3AA1TJ7PRZ5NKCWUUYL9PRMP,The Song of Achilles,Madeline Miller,Historical,5.0,yall remember tht part where it was like:achilles: lol listen my mom can’t spy on us anymore :tongue:patroclus: :eyes: achilles: :eyes:,"Counter({'love': 2, 'content': 1, 'confused': 1})",love,0.3333333333333333
33QQ60S6B3MEK3C9KCSJ38A5P5SU0L,Betwixt,Darynda Jones,Fantasy,3.0,"One thing I love about Darynda Jones books is they are always fun. This one was a relatively quick read. The story was interesting, it took a bit before the plot really took off but once it did I enjoyed it immensely. Looking forward to seeing where this story goes in the next book!","Counter({'love': 3, 'enthusiastic': 2, 'content': 1})",love,0.4
3QX22DUVPZLB0W8GE7PMXRJ16F2MVD,The Diary of a Young Girl,Anne Frank,Classics,4.0,"This is an autobiography solely based on Anne Frank's diary. Even today after 73 years this book is widely famous among us.  So what makes this book so special? Well, this book was never written to get published, or even that someone will ever read it for that matter. If you write a diary entry you must be familiar with the unfiltered, raw, and original emotion behind writing it. As this was not a planned book, so there is no unexpected twist but this book is worth a read. Please don't presume it to be a sad story, Anne Frank was a very jolly person which you can see in her little stories that she shared every day with her diary ""Kitty"". I was so amazed to notice how a teenager's writing can be so strong and thoughts can be so clear. It inspires me that even after so much chaos and fear around how positive and hopeful she was.Get a copy and read it you beautiful people, you will definitely feel more grateful towards life.","Counter({'love': 2, 'enthusiastic': 2, 'content': 1})",love,0.25
3TX9T2ZCCK5OES74J6KCRVYOSSMWZE,The Book of Cold Cases,Simone St. James,Mystery,3.0,"This is a Paranormal Thriller. I was really looking forward to this book so much because I loved the other book by Simone St. James that I read. I felt this one fell short for me. There was a lot of suspense in this book, but I felt the paranormal parts was just ok. I know when the ghost parts was coming, and I guessed was of this book. I did not care about any of the characters. I feel there is a lot of true crime podcast books out there right now, and I do not think this is the best one I have read so far. It is also not the worst one either. I also found the ending to be just ok. I was kindly provided an e-copy of this book by the publisher (Berkley) or author (Simone St. James) via NetGalley, so I can give an honest review about how I feel about this book. I want to send a big Thank you to them for that. This book is schedule to be release on March 15-2022.","Counter({'disappointed': 2, 'confused': 1, 'bored': 1, 'content': 1})",disappointed,0.25
3JU8CV4BSWGMVFWW5BV0J3JOFRGOP9,The Diary of a Young Girl,Anne Frank,Classics,4.0,"I really wish I had a different translation of this book because this one lacks a lot of the personality and ease compared to the audiobook version I partially listened to. But this book should definitely be one of the books you read before you die because it is so tragic and enlightening. Nothing makes me angrier and sadder than seeing someone with so much potential and excitement rave about their passion for life, and in the end, never made it to accomplish their dreams, or see their work published. (this is also why This Star Won't Go Out made me sob.) Anne surprised me with how real and relatable she is, and she really seems to grow into her writing style and throughout the book you can note a change in her maturity and the way she describes and reflects on things. Had this book been easier to get through it would have been 5 stars, but some parts just dragged for me. ","Counter({'content': 3, 'love': 1, 'annoyed': 1})",content,0.5
3538U0YQ2QYLIDEG8AF3J679IUXF32,The Song of Achilles,Madeline Miller,Historical,4.0,"“When I die, bury my ashes with this book.”—every person who finished reading The Song of Achilles, ever. “IN THE DARKNESS, two shadows, reaching through the hopeless, heavy dusk. Their hands meet, and light spills in a flood like a hundred golden urns pouring out of the sun.” ","Counter({'enthusiastic': 2, 'love': 2})",enthusiastic,0.3333333333333333
3ATYLI1PS46Q94TYAYQGM7XC6SAJO4,Betwixt,Darynda Jones,Fantasy,5.0,"I feel like Darynda Jones took all things that made Charley Davidson one of my favorite series, put it into a blender with a bunch of witchy stuff, mixed it good and out came the new B&B series. Hey, no complaints from me. I'm a sucker for these kinds of main characters with their sass, quirkiness and addiction to all things yummy, be it men, food or coffee.I'm up for another Darynda journey.Over and out","Counter({'confused': 2, 'content': 1, 'enthusiastic': 1})",confused,0.3333333333333333
34YWR3PJ3JE61764PH36NF99JN9X0G,The Book of Cold Cases,Simone St. James,Mystery,,"ARC received!!! I love you so much, Berkley. Thank you!!!Easily, one of my most anticipated books of 2022. Oh baby, I cannot wait to get to this!!!Earlier:WE HAVE A COVER!!!I love the vintage vibe of this; very much like The Sun Down Motel. I cannot wait to have it on my shelves!!Original:A true crime blogger gets more than she bargained for while interviewing the woman acquitted of two cold case slayings in this chilling new novel...New Simone St. James for 2022!!!","Counter({'enthusiastic': 3, 'love': 2, 'content': 1, 'bored': 1, 'annoyed': 1})",enthusiastic,0.2857142857142857
3VJ4PFXFKEBALGARCEPCSEMIYR4UAC,The Cyberiad,Stanisław Lem,Science,5.0,"The Cyberiad is truly a cybernetic Iliad, forged from chromium chronicles, cobalt fables, metallic mythologies, titanium tales, stainless steel stories, platinum parables, magnesium sagas, wrought iron records, copper epics, silicon sagas, lead legends, all-around space-age aluminum alloygories.This is one of the best story collections I have ever read period (comparable in quality to Borge's Ficciones). It's a story cycle, mostly revolving around the strange adventures and mechanical mishaps of two robotic intellectricians, Trurl and Klapaucius, so it's not as disparate as other collections tend to be. This book also serves as an example of pristine and galvanic translation. I have no idea what the original Polish reads like but Lem's singular imagination is brought to alien life with interplanetary puns, cosmic portmanteaus, and otherworldly descriptions. Indubitably evocative, humorous, and clever.I started reading for enjoyment in middle school and would often read anything with a dragon in it. As it happens, there is a highly intellectual and witty story about dragons. But every story is packed with heart and mind, a weird and delightful fusion of old and new loves. Storytelling at its finest and most exuberant. A delight from start to finish. In a word (or two), passionate virtuosity.","Counter({'enthusiastic': 2, 'annoyed': 1, 'confused': 1, 'love': 1})",enthusiastic,0.25
3R0WOCG22XD8JND3WOGEIFUOJU1UDE,The Song of Achilles,Madeline Miller,Historical,3.0,"The writing is great and I enjoyed reading about the tender relationship between Patroclus and Achilles, but I'm not a fan of Greek mythology and thus couldn't care enough for the story unfortunately (especially since it gets so slow-paced during the war). I dig the ending though for the drama!","Counter({'enthusiastic': 2, 'bored': 1, 'love': 1})",enthusiastic,0.3333333333333333
3GL25Y685EY34LDBEMQ4LCGMMQAMXG,The Book of Cold Cases,Simone St. James,Mystery,4.0,"Simone St. James' books are so interesting in terms of their genre - I guess they are really horror, but they usually have thriller tropes. This one had a lot of my catnip (secrets from the past, true crime blogger/podcaster, serial killer copy cat, haunted house), and I continue to love the character development in her books. I particularly loved Shea, but Beth was also an interesting enigmaMy only issues were 1) my perennial ambivalence on a dual timeline (I kept wanting to get back to the present!) and 2) I felt like the front 50% was a bit slowStill, I really loved the ending of this, so that made up a lot of ground for meCW: child SA, portrayal of mental illness","Counter({'enthusiastic': 3, 'love': 1})",enthusiastic,0.6666666666666666
3VQTAXTYOEPF4QFJISP8NP6OG9PUB7,The Diary of a Young Girl,Anne Frank,Classics,4.0,"4.25|5 || The Read Harder Challenge 2018 - A book published posthumously ||One of the most important and moving books I’ve ever read.I adored charming and witty Anne. She managed to do what so many others never accomplish in their writings: she brought me into her world without any effort. Her voice resonated in my head and heart every day since I’ve started this book. She feels like a close friend, like part of the family. Moreover, I was impressed of how emotionally intelligent she is, how much she grows up in such a short time.And through the whole book my heart was broken because I knew the end. The unfairness of life, the wrongdoings of so many other people, actually the whole climate which got Anne and her family and millions other killed, all of these are despicable. And it’s even more unbearable to think that all happened just a few decades ago. I’m emotional thinking about Anne and I know that the connection that I have with this book will not disappear any time soon. It will stay with me for years to come. ","Counter({'enthusiastic': 2, 'content': 1})",enthusiastic,0.5
3UEBBGULQQS5H7RZNUB46FX9V7HUFP,The Song of Achilles,Madeline Miller,Historical,5.0,"the vibe of ""i feel like i could eat the world raw"" vs. ""i will kill u & eat u raw""but actually, the only thing that was eaten raw was my heartrep: mlm couple","Counter({'disappointed': 2, 'content': 1, 'confused': 1, 'enthusiastic': 1})",disappointed,0.25
32CAVSKPDPTERSXRGVWJHDTFUXYU1O,Betwixt,Darynda Jones,Fantasy,4.0,"I'll be honest- I saw this on my feed and it looked interesting, but reading the description I was worried it was going to be a bit of a pity party. Thankfully this was not the case at all! This book was so dang cute and fun~I got swept right into the story and I actually had a whole lot of fun with Defiance's character, and learning about her new possibilities in both life and magic was a great read. There's mystery, intrigue, a new budding romance (along with a d-bag ex) and a wonderful friendship between her and her best friend Annette.All I can say is hallelujah for strong female friendship! I think their banter was one of my favorite things.So we get a cliffhanger ending, but ill def be picking up the next one to see where the story is going and to get to know the magical world a bit better.","Counter({'content': 3, 'love': 1, 'enthusiastic': 1})",content,0.5
3IVKZBIBKBD9GQQ1TF44UZRYQP9HSU,The Cyberiad,Stanisław Lem,Science,4.0,"Very amusing fable like stories about two friends and rivals, with nearly god-like skill as inventors and builders of machines. They travel the galaxy, seeking to utilize their skills to solve various problems, typically on behalf of a rich prince or king. The machines usually turn out not quite as expected. Like Henry Kuttner's classic The Proud Robot.There's really nothing quite like Stanisław Lem, wildly imaginative and wholly original. Like Kuttner and Robert Sheckley, much of his writings have a witty, humorous edge. I don't know if there's a deeper message in these stories, about the inherent fallibility of machines and robots, or if they are intended purely as entertainment. Maybe a bit of both. Quite a bit of the humor seems rooted in mathematics, though Lem himself was not a mathematician, scientist or engineer as far as I know.There's something about these stories that make me think of Jack Vance's classic The Dying Earth series. I could easily imagine the robots as two rival wizards doing their best to outdo each other, or some despotic monarch, with absurd demonstrations of their skill. The stories are generally very short, and while all are entertaining I think they're best enjoyed in small doses as others have noted.","Counter({'enthusiastic': 2, 'content': 1})",enthusiastic,0.5
338431Z1GWJ77SCBI3ZPOYJ3G94RO4,The Book of Cold Cases,Simone St. James,Mystery,3.0,"True crime podcasts are popular themes in thrillers these days, and in this book we have a cold cases blogger named Shea who lands an interview with Beth, the woman acquitted of murdering two men 40 years earlier. Shea has been long obsessed with this case, partly because it happened in her home town of Claire Lake, Oregon. If Beth didn't kill those men, then who did? Beth has been reclusive for decades, hiding alone in her family's creepy mansion, and also hiding the truth. Usually I'm a huge fan of Simone St. James' ghostly elements, but this time the paranormal didn't fit particularly well. THE BOOK OF COLD CASES was more of a dysfunctional family drama with a murder mystery mixed in, and unfortunately the mystery gets solved too quickly! While I enjoyed the premise and characters, I thought the story moved slowly overall, and I kind of questioned the point of including the woo-woo. Liked this one, but didn't love it.Disclosure: I received a copy of this book from the publisher through NetGalley in exchange for an honest review.","Counter({'disappointed': 2, 'content': 1, 'love': 1, 'annoyed': 1, 'confused': 1})",disappointed,0.2
3VCK0Q0PPGI1PDS0NBGXPDIBH9ZN0M,Normal People,Sally Rooney,Fiction,1.0," Man booker prize long list nominee and Costa book awards nominee This is a book that has many admirers and sadly it didn't work for me and while I would love to agree with all the judges on this one I only struggled to the end because it was a bookclub read. It is difficult to go against the grain on a book that is nominated for so many awards. So as always you  need to judge for yourself because books fit people differently  Quite simply this book didn't  Fit Me. I really have no interest in reading about 18-20 something year college kid's on/off sexual relationships where they seem to only exist in their own little complex bubble and this book felt like a bubble. It is described as ""exquisite love stroy"" which I honestly found nothing exquisite or no love in this one. The characters of Connell and Marianne were dislikable and boring and the on / off, will they wont they ""relationship"" became repetitive reading. The only character which I liked and felt any connection with in the novel was Lorraine.Perhaps this is more suited for a younger audience where they connect with the college scene or for readers who like complex relationship stories but for me this was a struggle from start to finish.","Counter({'annoyed': 2, 'confused': 1, 'love': 1})",annoyed,0.3333333333333333
3P7QK0GJ44P22C9X5MV53OIZOLRZ2Z,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,Nonfiction,3.0,"Affecting but disjointed, I Am Malala recounts the extraordinary life of the internationally renowned Pakistani activist. Partially written by a ghostwriter, the memoir scans Malala’s childhood and adolescence as well as the recent history of Pakistan, but it addresses neither subject comprehensively. An excessive amount of information about Pakistani society is presented piecemeal, leaving much unclear; these passages overwhelm Malala’s own story, without ever giving a clear sense of the country’s politics, government, or culture. The transitions between the life writing and the explanatory prose also tend to be clumsy, and the writing feels rushed. The book is at its best when it focuses on Malala’s goals, beliefs, and accomplishments, but it’s clear that a more thorough (auto)biography remains to be written.","Counter({'confused': 3, 'annoyed': 2, 'bored': 1, 'content': 1})",confused,0.3333333333333333
3ZZAYRN1JHVKN7P3MS4KODKL4U1OTE,Normal People,Sally Rooney,Fiction,3.0,"wow. one of the most frustrating, but humanising, books i have read in a long time. for sure. i feel so exhausted after reading this, but i think that may have been the authors intent. its shows that normal people living normal lives can be quite tiresome. for example:- the writing lacks quotation marks, which makes the dialogue difficult to decipher. which could be seen as support for the idea that life is just as messy as the books formatting and communication sometimes takes effort to understand. - there are massive jumps in the timeline with a lot of backtracking, so much so that the drastic shifts are jarring. which could be seen as exemplifying the notion that people change over time and friendships are bound to alter.things like this will polarise readers. either its too much and unenjoyable, or its a work of genius and adds depth to the storytelling. i think it really depends on the readers interpretation and mood. and like the indecisive creature that i am, im quite torn down the middle. ↠ 3.5 stars","Counter({'annoyed': 2, 'content': 2, 'enthusiastic': 1})",annoyed,0.25
33N1S8XHIXPVDRR1MIVRY58UWFDZ1I,The Cyberiad,Stanisław Lem,Science,5.0,"I first ran across The Cyberiad in desperation. It takes me next to no time to read books, so I quickly drained every last inch of our bookshelves by eighth grade, and the library had nothing.My dear lord. Before I get into the writing itself, let's not forget the briliant translation, and this book would not be easy to translate, between alliterations, rhyming, and the sheerly brilliant nonsense (I use brilliant so much because one simply can't use that word enough when speaking of this book.), he had a Herculean challenge and met it.Now, when it comes to the writing of Lem himself, you reach a new level. Most science-fiction fans will gladly preach the gospel of the European sci-fi authors, and Lem is unquestionably a great among them, in no small part due to The Cyberiad. While fans of hard sci-fi may find the ridiculous, operatic, humorous, pseudo-scientific stories pretty much revolting (though I doubt it), no one can deny the uniqueness of his worldbuilding (surprisingly deep, for nonsense) or the fabulous anti-hero, Trurl.I feel terrible not being able to give more, in case someone hasn't read it, but it would not be right to reveal the glory here. Suffice it to say that this should live on every bookshelf, genre-bound or literati, and should be reread often and with much gusto. A true piece of art.","Counter({'content': 2, 'bored': 1, 'enthusiastic': 1})",content,0.3333333333333333
39WICJI5B4WRNU5G9M9AMYNRUZRZ3A,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,Nonfiction,3.0,"3.5 starsMalala Yousafzai inspires me so much. Her human rights advocacy for education and for women has transformed into an international movement; her courage to keep fighting after getting shot exemplifies her heroism. Her voice has reached so many and has influenced history. She has impacted the world by speaking out, and she writes about her father's support as well, adding back story to her honest desire to make a difference in the realm of Pakistani politics and female education.Saying all of that, my rating of I Am Malala pertains in no way to Malala herself. I felt that this book fell short in portraying Malala's story: it jumbled up Pakistani history, politics, and Malala's own experience in a way that did not make much sense. The book's disjointed, impersonal structure disappointed me, and I wish we could have read a more linear, cohesive narrative all from Malala's viewpoint. We all know the power and wisdom of Malala's voice; I would have enjoyed I Am Malala if I had heard more of it.If you want to learn a little more about Malala's upbringing, Pakistani history, or the Taliban, I would still recommend this book. It does a good job of sharing Malala's story, even though it could have done a lot better.","Counter({'disappointed': 2, 'content': 1})",disappointed,0.5
3UAU495MJTWZNK4SMXUUT96NN88OU5,Normal People,Sally Rooney,Fiction,1.0,"Whoever was responsible for the marketing of this book deserves a raise because they managed to make 600k+ people read this incredibly boring story.Youtube Review: https://youtu.be/3MKcVnfTlf4?t=475I've been joking around and explaining not loving most Memoirs/Autobiographies and some Contemporaries by stating that ""I just don't really care about people"". Clearly, it's far from the truth but... I'll make an exemption for these people.Didn't care one bit.Not sure if I'll watch the tv show...","Counter({'disappointed': 2, 'content': 1})",disappointed,0.5
